sampleId	accession	fq
CGG_2_17661	CGG_2_17661-lib-017	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1N_GATGGA-TAGCGA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-018	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1N_GATGGA-TAGCGA_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-019	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1N_GATGGA-TAGCGA_L005_R1_003.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-020	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1O_CAGATC-AGCTCT_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-021	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1O_CAGATC-AGCTCT_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-022	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1P_CTTGTA-CGTCAG_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-023	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1P_CTTGTA-CGTCAG_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-024	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1P_CTTGTA-CGTCAG_L005_R1_003.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-025	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1P_CTTGTA-CGTCAG_L005_R1_004.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-026	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1Q_TGATCG-GACGTA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-027	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1Q_TGATCG-GACGTA_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-028	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1Q_TGATCG-GACGTA_L005_R1_003.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-029	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1Q_TGATCG-GACGTA_L005_R1_004.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-030	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1R_GCAACG-ATGACG_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-031	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1R_GCAACG-ATGACG_L005_R1_002.trim.fq.gz
